t, x(t)
0.000000, 1.000000
0.100000, 1.089005
0.200000, 1.134586
0.300000, 1.248936
0.400000, 1.390161
0.500000, 1.475602
0.600000, 1.553451
0.700000, 1.716007
0.800000, 1.846836
0.900000, 1.916906
1.000000, 2.115871
1.100000, 2.369991
1.200000, 2.517872
1.300000, 2.680323
1.400000, 2.877180
1.500000, 3.099443
1.600000, 3.369028
1.700000, 3.356148
1.800000, 3.438779
1.900000, 3.660787
2.000000, 3.808185
2.100000, 3.892699
2.200000, 3.964889
2.300000, 4.025073
2.400000, 4.062926
2.500000, 3.961469
2.600000, 3.984177
2.700000, 3.647374
2.800000, 3.539695
2.900000, 3.347337
3.000000, 3.337135
3.100000, 3.078766
3.200000, 2.912595
3.300000, 2.688892
3.400000, 2.440356
3.500000, 2.263339
3.600000, 2.050991
3.700000, 1.854296
3.800000, 1.677063
3.900000, 1.539634
4.000000, 1.368607
4.100000, 1.288171
4.200000, 1.130196
4.300000, 1.009286
4.400000, 0.898922
4.500000, 0.749642
4.600000, 0.710448
4.700000, 0.646301
4.800000, 0.606542
4.900000, 0.559709
5.000000, 0.550874
5.100000, 0.518601
5.200000, 0.502481
5.300000, 0.479950
5.400000, 0.489990
5.500000, 0.473759
5.600000, 0.481533
5.700000, 0.504279
5.800000, 0.501505
5.900000, 0.500202
6.000000, 0.513811
6.100000, 0.541505
6.200000, 0.564577
6.300000, 0.613813
6.400000, 0.679843
6.500000, 0.750525
6.600000, 0.807273
6.700000, 0.850903
6.800000, 0.919853
6.900000, 1.065504
7.000000, 1.169698
7.100000, 1.322399
7.200000, 1.480692
7.300000, 1.562681
7.400000, 1.694467
7.500000, 1.729078
7.600000, 1.926684
7.700000, 2.128527
7.800000, 2.218735
7.900000, 2.529104
8.000000, 2.749102
8.100000, 2.966270
8.200000, 2.984939
8.300000, 3.139105
8.400001, 3.310976
8.500000, 3.409532
8.600000, 3.342940
8.700000, 3.550825
8.800000, 3.612699
8.900001, 3.600643
9.000000, 3.560566
9.100000, 3.510773
9.200000, 3.370068
9.300000, 3.117447
9.400001, 2.943266
9.500000, 2.687264
9.600000, 2.388469
9.700000, 2.202790
9.800000, 1.851215
9.900001, 1.622704
t, x(t)
0.000000, 1.000000
0.100000, 1.033461
0.200000, 1.121169
0.300000, 1.206857
0.400000, 1.305617
0.500000, 1.424072
0.600000, 1.568988
0.700000, 1.721699
0.800000, 1.905785
0.900000, 2.094916
1.000000, 2.277246
1.100000, 2.447461
1.200000, 2.604641
1.300000, 2.795638
1.400000, 3.018917
1.500000, 3.270679
1.600000, 3.439345
1.700000, 3.631640
1.800000, 3.819402
1.900000, 4.078420
2.000000, 4.262300
2.100000, 4.179046
2.200000, 4.393964
2.300000, 4.699825
2.400000, 4.804384
2.500000, 4.628136
2.600000, 4.308589
2.700000, 4.154142
2.800000, 3.918955
2.900000, 3.842360
3.000000, 3.557757
3.100000, 3.372815
3.200000, 3.187452
3.300000, 2.922384
3.400000, 2.787337
3.500000, 2.614624
3.600000, 2.433892
3.700000, 2.154704
3.800000, 1.889181
3.900000, 1.653082
4.000000, 1.425951
4.100000, 1.288908
4.200000, 1.272196
4.300000, 1.193506
4.400000, 1.134228
4.500000, 1.053392
4.600000, 0.924653
4.700000, 0.902850
4.800000, 0.833183
4.900000, 0.805500
5.000000, 0.756553
5.100000, 0.782502
5.200000, 0.716514
5.300000, 0.719648
5.400000, 0.705899
5.500000, 0.678927
5.600000, 0.678991
5.700000, 0.720652
5.800000, 0.745569
5.900000, 0.769446
6.000000, 0.791115
6.100000, 0.850675
6.200000, 0.942892
6.300000, 1.020451
6.400000, 1.083135
6.500000, 1.171745
6.600000, 1.287163
6.700000, 1.441678
6.800000, 1.598852
6.900000, 1.638396
7.000000, 1.757182
7.100000, 1.902294
